state,district,store_name,address,phone
Delhi,New Delhi,Preet Vihar,"Building No. 4, Bharti Artist Colony, Upper Ground Floor & 1st Floor, Near Nirman Vihar Metro Station, Preet Vihar, New Delhi - 110092",011-41041418 / 7605004782 / 7603034870
Delhi,New Delhi,Rajouri Garden,"C12 Vishal Enclave, Opp Metro Pillar No 414, Rajouri Garden, New Delhi - 110027",9147174001 / 9147170112
Delhi,New Delhi,South Extension,"A-6, 1St Floor, Ring Road, South Extension-1, New Delhi - 110049",011-47523894
Haryana,Gurgaon,Gold Souk - Gurgaon,"Ff 21 & 22, Gold Souk Mall, Sushant Lok Phase - 1, C Block, Sec - 43, Gurgaon, Pin - 122002, Gurgaon, Haryana, India",1244277014
Haryana,Gurgaon,Gurgaon,"Jmd Regent Arcade, Shikanderpur Ghoshi, Ugf, Gurgaon - 122002",01244273502 / 4374279
Jharkhand,Bokaro,Bokaro,"C-30, City Centre, Sector - 4, Near National Insurance Office, Bokaro, Jharkhand. Pin - 827004",06542-232323
Jharkhand,Deoghar,Deoghar,"1st Floor, Savitri Complex, Baidyanath Dham Station Road, Deoghar, Near ICICI Bank, Pin - 814112",0643-2350666 / 7004026731
Jharkhand,Dhanbad,Dhanbad,"O-Zone Plaza, Bank More Dhanbad. Pin - 826001",0326-2300374 / 9102189277 / 9264431918
Jharkhand,Dumka,Dumka,"Bhagalpur Road, Near Hadhadiya Pool, Beside Royal Enfield Showroom, Dumka, Jharkhand, Pin Code-814101",9263353393 / 8637509493
Jharkhand,Hazaribagh,Hazaribagh,"Ground & First Floor, Khata No.-7, Shri Shyam Complex, Plot No-472, PTC Rd, near Swadeshi Nxt Mall, Sarle, Suresh Colony, Hazaribagh, Jharkhand 825301",9031813801
Jharkhand,Jamshedpur,Jamshedpur,"29, Sakchi Boulevard Road, S B Shop Area, Bistupur Main Road, Opp. K.M.P.M. Inter College, Dist: East Singhbhum, Jamshedpur. Pin - 831001",0657-6614421 / 2222133 / 7596089696 / 7605004770
Jharkhand,Jamshedpur,Sakchi,"66A Pennar Road, Sakchi, Jamshedpur - 831001",0657-2913133 / 7603034866
Jharkhand,Ranchi,Everlite by Senco Gold & Diamonds - Ranchi,"Ground Floor, Pasa House, Circular Road, Lalpur, Ranchi, Jharkhand - 834001",9973652955/ 0651-2563333
Jharkhand,Ranchi,Ranchi,"Walking Street, Main Road, Opposite Capitol Hill Hotel. Ranchi. Pin - 834001",0651-2332709 / 7605087453
Karnataka,Bangalore,Koramangla,"605, 4Th Block, 100Ft Road, Wildcraft Building - Sony Signal, Koramangla, Bangalore. Pin - 560034",7605042525 / 7605042526
Karnataka,Bangalore,Phoenix Mall,"Phoenix Market City, Unit No G-56, Ground Floor, White Field, Mahadevapura, Bangalore (East). Pin - 560 048",080-67266340
Karnataka,Bangalore,"Phoenix Mall of Asia, Bangalore","Phoenix Mall of Asia, Unit No: G-47, Ground Floor, 239/240, Byatarayanapura, Yelahanka, Hobli Yelahanka Taluk, Bellary Rd, Bengaluru Urban District, Bellary Road, Karnataka - 560092",9147337920 / 7605004771
Madhya Pradesh,Bhopal,Bhopal,"Ward no. 33, Plot no. 8, House no. 14, Prakash Towers, Opposite Raj Bhavan Road, Malviya Nagar, Bhopal, Madhya Pradesh - 462023",9147175921
Madhya Pradesh,Gwalior,Gwalior,"Senco Gold Ltd., VR Tower - Plot No 1, Shri Ram Colony, Lashkar, Gwalior, Madhya Pradesh - 474002",8770923096 / 9826569335
Madhya Pradesh,Indore,Indore Phoenix,"UG 19 & 20, Upper Ground Floor. Phoenix Citadel Mall, Vill - Khajrana, Indore. Madhya Pradesh - 452016",9147318406
Maharashtra,Mumbai,Andheri,"Mayfair Kumkum Building, Plot No - 11, Opp Sangeeta Hospital, S V Road Andheri West, Maharashtra - 400058",7605087448 / 7605087449
Maharashtra,Mumbai,Andheri (New Link Rd),"Unit No 8 to 11,35 & 36, Karthik Complex, New Link Rd, opposite Laxmi Industrial Estate, Andheri West, Mumbai, Maharashtra - 400053",7605087458 / 7605087459
Maharashtra,Mumbai,Borivali,"Shop No 1 & 2, Ground Floor, Nakshtra Tower, Chandavarkar Rd, Lokmanya Tilak Nagar, Maharashtra Nagar, Borivali West, Mumbai, Maharashtra - 400092",9147105943 / 9147125380
Maharashtra,Mumbai,Everlite by Senco Gold & Diamonds - Andheri,"Paid Area, Andheri Metro Station, Andheri East, Mumbai - 400069",9147769233
Maharashtra,Mumbai,Skycity Mall,"Unit No.-F41, 1St. Floor, Skycity Mall, Duttapada Road, Borivali(East),Near Sanjay gandhi National Park,Mumbai - 400066",7595024070
Maharashtra,Nagpur,Nagpur,"Plot No: 12, South Ambazari Road, Opposite Bandhan Bank; Laxmi Nagar, Nagpur, PO: Laxmi Nagar, PS: Bajaj Nagar, Maharashtra, Pin code: 440010",0712-2990992 / 9028581033
Maharashtra,Pune,Pune,"Unit No GP 2 & 3, Lower Ground Floor, S No. 207, Phoenix Market City Pune Mall, Behind Baker Gauges, Viman Nagar, Pune, Maharashtra - 411014",7605087456
Maharashtra,Pune,Pune Laxmi Road,"Shop Nos 7,102,202 & 302, Sarsan Plaza, C Wing, Cts No.367,368,369,372,373 & 374, Laxmi Road, Narayan Peth. Pune-411030. Maharashtra.",7596044535 / 7605004782 / 7596044535
Maharashtra,Pune,Phoenix Mall of The Millennium,"Unit No. G-50, Ground Floor, S. No. 132/23, Behind Sayaji Hotel, Wakad, Pune, Maharashtra - 411057",9147337719 / 9147337720
Maharashtra,Vashi,Vashi,"Shop No 6, 7 & 8, Ground Floor, Shah Signature Building, Sector 17, Vashi, Navi Mumbai, Maharashtra - 400705",7605087450 / 7605087451
Odisha,Balasore,Balasore,"Vivekananda Marg, Near Chidiapolo, Balasore, Baleshwar – 756001",0678-2262629 / 7363044503
Odisha,Balasore,Chandaneswar,"AT-Gajipur, PO-Chandaneswar, PO-Bhograj, Balasore, Odisha - 756085",9124451765
Odisha,Baripada,Baripada,"College Road, Near Sbi Main Branch Baripada, Odisha, Mayurbhanj, Pin - 757001",6372500144 / 06792-255543
Odisha,Bhadrak,Nayabazar Bhadrak,"Nayabazar, Biswal Commercial Complex, near Govt Hospital, Bhadrak, Odisha - 756100",7008878908
Odisha,Bhubaneswar,Bhubaneswar,"Plot No 117/118 Unit III, Station Square, Master Canteen, Near Reliance Super, Bhubaneswar. Pin - 751001",0674-2500070 / 80 / 7595089163
Odisha,Bhubaneswar,Patia,"Plot No.435/1883/4889, Patia, Near Kiit Square, Bhubaneswar, District - Khurda, Pin - 751024",0674-2726010 / 2914486 / 9147106957 / 58
Odisha,Brahmapur,Brahmapur,"Sano Bazar Main Road, Brahmapur, Odisha, Pin - 760002",8117965485
Odisha,Cuttack,Cuttack,"Plot no-558/P, Cantonment Road, Near Howra Motors, Cuttack, Pin - 753001",0671-2417080 / 2416080 / 7595089165
Odisha,Jajpur,Jajpur,"1st Floor Of Hero Showroom, Dala Chawak, Near Sbi Main Branch, Jajpur Road, Jajpur. Pin - 755019",06726-222540 / 06371771930
Odisha,Jaleswar,Jaleswar,"Garage Bazar, Jhadeswarpur, Jaleswar, Odisha, Pin - 756032",7548975409
Odisha,Rourkela,Rourkela,"Ground & 1st Floor , Plot No – 172/1522, 189/1589, 190/272 , Hotel Green Apple,  Daily Market , Main Road , Rourkela , Sundargarh , Odisha - 769001",9147769349 / 9147769350
Rajasthan,Bikaner,Bikaner,"Suraj Talkies, NH-62, Hotel Bharat Palace, Rani Bazar, Bikaner. Rajasthan - 334001",9784811107
Sikkim,Gangtok,Gangtok,"Plot No 1024 Gangtok Block, Mundra Building, Mg Marg, Gangtok, East Sikkim, Pin - 737101",9147174051 / 9147174050
Telangana,Hyderabad,Hyderabad,"24 & 25, 6/1 Gachi Bowli, Hyderabad. Pin - 500032",040-29881955
Telangana,Hyderabad,Punjagutta,"Hyderabad Amrutha Mall, Shop no 22 23 24 25, MCH no 6-3-1110 122 A123 Hyderabad, Somajiguda, Telangana - 500082",9147174195 / 9147159615
Tripura,Agartala,Agartala,"Kaman Ckowmuhani, Hariganga Basak Road Agartala (West), Tripura - 799001",7605042581 / 9147106950 / 9147106951
Uttarakhand,Dehradun,Dehradun,"Plot No - 535 Rajpur Road, Opposite Vivekananda Netralaya Rajpur Road, Dehradun - 248001",8826265132
Uttar Pradesh,Allahabad,Allahabad,"Ganpati Towers 56, Sardar Patel Marg, Civil Lines Prayagraj, Allahabad, Uttar Pradesh - 211001",5324021952
Uttar Pradesh,Etawah,Etawah,"45 B Hotel Rashmi compound station road Bajariya Etawah, Uttar Pradehs - 206001",9997350666
Uttar Pradesh,Ghaziabad,Ghaziabad,"Shop No. 18, Ground Floor, Shipra Mall, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh - 201014",0120-4230206 / 4230205
Uttar Pradesh,Gorakhpur,Gorakhpur,"6, Park Road, Golghar University, Gorakhpur - 273001",0551-2201743 / 7605087428 / 7605087429
Uttar Pradesh,Jhansi,Jhansi,"Near Bikanervala Sweets, Opp-SSP Banglow, Elite Allahabad Bank Road. Civil Line Jhanshi - 284001",7605087433 / 7596090014
Uttar Pradesh,Lucknow,Alambagh,"Unit No. A-101, Village-Town, Lucknow, L.D.A. Colony, Block - Sector B, Kanpur Road, Lucknow, Commercial Premises, Ward Vidyawati Devi Nagar, District - Lucknow, PIN - 226012",0522-4041369 / 7595089143
Uttar Pradesh,Lucknow,Gomti Nagar,"Anand Plaza, Viram Khand-1, Near Patrakarpuram, Gomti Nagar, Lucknow - 226010",0522-4017614 / 4025905 / 7605087424 / 7605087425
Uttar Pradesh,Lucknow,Hazratganj,"Plot No. 7 & 8 Prem Nagar Sapru Marg, Opposite Ritz Continental, Hazratganj, Lucknow - 226001",9147160038
Uttar Pradesh,Lucknow,Phoenix Palassio,"Unit Number G-28, Ground Floor Phoenix Palassio Mall, Amar Shaheed Path, Sector-7, Gomti Nagar Extension, Lucknow, Uttar Pradesh, Pin - 226010",0522-6789167
Uttar Pradesh,Meerut,Meerut,"205, Begum Bridge Road, Meerut, Uttar Pradesh - 250001",9520907999
Uttar Pradesh,Noida,Noida,"G - 49, Sector - 18, Gautam Budhnagar, Noida - 201301",0120-4307805
Uttar Pradesh,Varanasi,Bhelupura,"Ground & 1st floor, B-20 44/A-7,H K Das Shopping Plaza, Bhelupura, Varanasi, Uttar Pradesh- 221010",9147769425/9147769424
Uttar Pradesh,Varanasi,Varanasi,"Shop No: 5, Swastik City Centre, D-58/7, 7A,7B, 7C, Rampura, Sigra, Varanasi, Uttar Pradesh - 221010",06392335128 / 9125649699 / 0542-2222090 / 7605087430 / 7605087431
West Bengal,Alipurduar,Alipurduar,"Holding No - 904/352, B F Raod, College Halt, Po - Alipurduar Court, Ps & Dis - Alipurduar, Pin - 736122",03564291125 / 9147337703 / 7605004755
West Bengal,Alipurduar,Jaigaon,"N.S Road, Main Road, Jaigaon, DIST - Alipurduar, Pin - 736182",9046157244 / 9046157245
West Bengal,Amta,Amta,"Amta Kolatala More (Beside Electric Power House), Amta, Howrah, Pin - 711401",8240622012 / 03214468371
West Bengal,Amtala,Amtala,"Near Sangam Super Market Complex, Opposite Bazar Kolkata, Dh Road, P.S. - Bishnupur, Amtala, 24 Pgs (S), Pin - 743398",033-65006511 / 8961006511
West Bengal,Arambagh,Arambagh,"Durlov Panja House, Arambagh Link Road, Arambagh, Hooghly. Pin - 712601",8017110165
West Bengal,Asansol,Asansol,"81, G T Road, Burdwan, Asansol. Pin - 713301",0341-2316090 / 8170065426
West Bengal,Bagnan,Bagnan,"Urmitanam Complex, Bagnan Station Road(N), Po+Ps: Bagnan. Howrah. Pin - 711303",03214-267666 / 8373058820 / 8373058821
West Bengal,Balurghat,Balurghat,"Nazrul Sarani, Opposite Narayanpur Public Bus Stand, Dakshin Dinajpur. Pin - 733101",03522-255990
West Bengal,Bankura,Bankura,"285, Katjuridanga, Bankura. Pin - 722102",9332232299
West Bengal,Barakar,Barakar,"Ground Floor of Punjab National Bank, Dishergarh Road, Near Begunia More, Barakar, Paschim Bardhaman, West Bengal, Pin code- 713324",7001884476 / 0341-2220076
West Bengal,Barrackpore,Barrackpore,"23/19B Ghosh Para Road, Barrackpore, North 24 Pgns. Pin - 700120",9874983332
West Bengal,Basirhat,Basirhat,"College Para, Opp. Falguni Cinema Hall, Taki Road, Basirhat. North 24 Pgs. Pin - 743412",9830124110
West Bengal,Berhampore,Berhampore,"376/377 Netaji Road. P.O-Khagra, P.S-Berhampore, Near Netaji Statue, Murshidabad. Pin - 742103",7596090017 / 7596090025
West Bengal,Bhadreswar,Bhadreswar,"No.110 G.T.Road, Telinipara, Bhadreswar. Hooghly. Pin - 712125",033-26330171 / 9874982482 / 9874986442
West Bengal,Bishnupur,Bishnupur,"381/1/A, Station Road, Beside Axis Bank Ltd, Bishnupur, Pincode: 722122; District: Bankura, West Bengal",03244-254111 / 7364020111
West Bengal,Bolpur,Bolpur,"Santiniketan Road, Above Icici Bank, Bolpur, Birbhum. Pin - 731204",9434348197
West Bengal,Burdwan,Burdwan,"B.C.Road, Curzon Gate, Burdwan. Pin - 713101",0342-2568400 / 8348736488
West Bengal,Burdwan,Burdwan (Memari),"Chak Deghi More, Memari, Burdwan. Pin - 713146",9475482087
West Bengal,Chakdah,Chakdah,"Ranjan Pally More, Lalpur, Chakdah, West Bengal, Pin - 741222",7605042572
West Bengal,Chandrakona,Chandrakona,"Gosai Bazar, Ward No. - 5, Chandrakona Town, P.O & P.S - Chandrakona, Paschim Medinipur, Pin - 721201",7548975612 / 8617557983
West Bengal,Contai,Contai,"Karkuli, Canelparh, Near PK College More, Purba Medinipur, West Bengal, Pin - 721401",8373058819 / 9933362562
West Bengal,Coochbehar,Coochbehar,"R R N Road, Old Post Office Para, (South) Coochbehar. Pin - 736101",03582-229545
West Bengal,Coochbehar,Coochbehar New,"Sunity Road, Plot No 4965(P), J. L 130 , P.S - Kotwali, Cooch Bihar - 736101",7384112265 / 7605087442 / 7605087443
West Bengal,Dankuni,Dankuni,"T N Mukherjee Road, Near Laababa Bus Stoppage, Dankuni, Hooghly. Pin - 712311",03212-269666 / 9333888169
West Bengal,Dhupguri,Dhupguri,"Ghoshpara More, Falakata Road, opposite SDPO Office, Vivekananda Para, Dhupguri, West Bengal - 735210",9434743316
West Bengal,Diamond Harbour,Diamond Harbour,"City Bazar Water Tank Para, Ward No:13, Ray Nagar, Diamond Harbour Road. South 24 Pragana. Pin - 743331",7718339091 / 8373058821
West Bengal,Durgapur,Durgapur,"Shop No: Lg 18 & 19 Junction Mall, Citycentre, Durgapur - 713216",0343 2542526 / 2542593 / 8170030497
West Bengal,Durgapur 2,Durgapur 2,"Kanak Bhavan, Nachan Road, Benachity, West Burdwan. Pin - 713213",9332232299
West Bengal,Ghatal,Ghatal,"Kushpata, Ward No-17, Ghatal, Paschim Meedinipur,Ghatal, West Bengal-721212",8250822862 / 8617557983
West Bengal,Habra,Habra,"32/33 Jessore Road, Post Habra, Police Station Habra, Dist :- North 24 Pgs. Opposite IDBI Bank. Pin - 743263",03216-270050 / 51 / 7596089700 / 7605004768
West Bengal,Haldia,Haldia,"Khanjanchak, Beside East Coast Hotel, Haldia, Purba Medinipur. Pin - 721602",9332128643
West Bengal,Hoogly,Chinsura,"1St Floor, Rohara Plaza, J C Ghosh Sarani, Chinsurah Bus Stand, Chinsurah. Pin - 712101",033-26811944 / 7596948340
West Bengal,Hoogly,Serampore,"50/A, N. S. Avenue, Serampore, Opp. Serampore High School. Hooghly. Pin - 712201.",033-26520302 / 7596089699 / 7605004769
West Bengal,Hoogly,Singur,"R69C+863, SN Mallick Rd, Nabapally, Daluigacha, Singur, Balarambati, West Bengal - 712409",9007108133
West Bengal,Howrah,Domjur,"First Floor Kalam Market, Howrah Amta Road. Near Domjur Post Office & SBI Main Branch, Pin - 711405",8100237995 / 9163262645
West Bengal,Howrah,Howrah,"Regent City Mall, Opposite Howrah Maidan, 18 Grand Tank Road, South Howrah. Pin - 711101",033-2637-2284 / 7595089164 / 7605004765
West Bengal,Howrah,Uluberia,"OT Road, Nona Bot-Tala, Beside Nona Athletic Club, Uluberia, Pin Code: 711315, District: Howrah",033-26612525 / 8100518617
West Bengal,Howrah,Shyampur,"Khathilbar,Shyampur, Near Shyampur Registry Office, Howrah - 711314",9147220377
West Bengal,Jalpaiguri,Jalpaiguri,"Deshbandhu Complex, D.B.C Road, Near Madrasa Ground, Jalpaiguri. Pin - 735101",03561-222286 / 87
West Bengal,Jhargram,Jhargram,"Jhargram Main Road, Near Allahabad Bank, Jhargram. Pin - 721507. West Bengal",07479006509 / 07479006510
West Bengal,Kachrapara,Kachrapara,"Shreya Basan, 23/18/6 And 23/H Bag Station Road Bagmore, Kachrapara, Dist - 24Parganas (N). Pin - 743145",033-25850103 / 65440050 / 7595089120 / 7605004766
West Bengal,Kakdwip,Kakdwip,"Krishnakali Complex, Namkhana Road, Rathtala Po & Ps-Kakdwip, Dist-South 24 Parganas, Opposite Sashan Kali Mandir, Kakdwip - 743347",7596044527 / 7596044529
West Bengal,Kalna,Kalna,"Ground Floor, Kalinagar, S T K K Road, Opposite New Bus Stand, Kalna. Pin - 713409",8017110165
West Bengal,Katwa,Katwa,"Ground Floor, Rabindra Market, Kachhari Road, Katwa, Burdwan. Pin - 713130",9474550473
West Bengal,Kharagpur,Kharagpur,"O.T.Road, Inda, Kharagpur, Paschim Medinipur. Pin - 721305",03222-225258 / 8538868488
West Bengal,Khardah,Khardah,"58/48 B T Road, Khardah, North 24-Pgns. Pin - 700117",03325235272 / 8777562146
West Bengal,Kolaghat,Kolaghat,"Vill - Kolaghat, Post - Kolaghat, Purba Medinipur. Pin - 721134",0322-8256140 / 8373058817 / 8373058821
West Bengal,Kolkata,Baguiati,"Saha Plaza Ram 23/64 (Formerly 64/8) Kazi Nazrul Islam Sarani, Block ""O"", Jyangra Saha Bagan. Kolkata - 700059",033-65001956 / 57 / 033-2570-8881 / 033-2986-0448 / 7595089123 / 7605087436 / 7605087437 / 7605087438
West Bengal,Kolkata,Barasat,"22 No. Jessore Road Champadali More, Kolkata - 700124",033-25844961 / 4970 / 7595089121 / 7605004764
West Bengal,Kolkata,Baruipur,"105 Kulpi Road Baruipur Padmapukur, Ward No-12, Kolkata - 700144",033-24230027 / 7595089166 / 7605087422 / 7605087423
West Bengal,Kolkata,Behala,"128, D.H.Road, Pathakpara Bus Stand, Beside Kolkata Bazaar, Kolkata - 700060",033-23990284 / 7595089126 / 7595089160 / 7605087420 / 7605087421
West Bengal,Kolkata,Belghoria,"69, Kishore Polly, Maya Plaza, Room no – 5 & 5A, D. P. Nagar, Belghoria, Kolkata - 700056",9147335682 / 9830834747
West Bengal,Kolkata,Bowbazar,"170/2, B.B.Ganguly Street, Kolkata - 700012",033-22417958 / 9022 / 7595089119 / 7605004763
West Bengal,Kolkata,Budge Budge,"18/2, MG Road, Nandanpur, Budge Budge, Near State Bank of India, Post Office & Police Station: Budge Budge; West Bengal 700137",9147709730 / 9147709731
West Bengal,Kolkata,Camac Street,"Ground Floor, Block A, 22 Camac Street, Kolkata - 700016",033-46039003 / 7595089141 / 7595057964
West Bengal,Kolkata,Dunlop,"18/1 B.T. Road, Narendranagar, Belghoria, Kolkata 700056",9147399416 / 9147402700
West Bengal,Kolkata,Garia,"130A Raja Sobodh Mullick Road, Kolkata - 700047",033-40647535 / 7595089168
West Bengal,Kolkata,Gariahat (New),"411/20, Hemanta Mukhopadhyay Sarani (Gariahat Road), Kolkata - 700029",033-24197573 / 65001613 / 7595089171 / 7595089172
West Bengal,Kolkata,Gariahat (Old),"171/2A Rashbehari Avenue, Opp - Aleya Cinema Hall, Kolkata - 700019",033-24408445 / 5687 / 7595089167
West Bengal,Kolkata,Hatibagan,"96, Aurobindo Sarani, Kolkata - 700006, West Bengal",9147333118
West Bengal,Kolkata,Jadavpur,142A Raja Subodh Chandra Mullick Road. Kolkata - 700032,7595089125 / 7595089162 / 7605042504 / 9147174820 / 7605042505
West Bengal,Kolkata,Kankurgachi,"Ground, 1st, 2nd Floor, P 344 Panna Mansion, CIT Road, Kankurgachi, Ward No 31, Kolkata - 700054",9147065072
West Bengal,Kolkata,Lake Market,"114A Rash Behari Avenue, Kolkata - 700029",033-2466 9407 / 9408 / 7595089124 / 7595089170
West Bengal,Kolkata,Madhyamgram,"245, Sodepur Road (East) Bijoy Nagar Gate No-2 Beside ""Gift & Toys"" Madhyamgram, Kolkata - 700129",7596089667 / 0332538-4040 / 0332538-4141
West Bengal,Kolkata,Malancha,"63A, Malancha Cinema Hall, NSC Bose Road, Kolkata - 700040",9147116735 / 9147174892
West Bengal,Kolkata,Moulali,"7 & 8 Cit Road, Kolkata - 700014",033-22847811 / 12 / 7595089169 / 7595089173
West Bengal,Kolkata,Nagerbazar,"6, Jessore Road, Dumdum Raja Devendra Nagar, Near Diamond Plaza, Pin - 700074",033-2559-8000 / 2986-0481 / 7596089695
West Bengal,Kolkata,New Bowbazar,"129/1, B.B Ganguly Street, Kolkata - 700012",033-22417958 / 9022 / 7595089119 / 7605004763 / 7605004774 / 7605004775 / 7605004776
West Bengal,Kolkata,Salt Lake,"Premises No: Dd - 30, Sector - 1, Saltlake City, Near City Centre 1. Kolkata - 700064.",03329862244 / 7596089698
West Bengal,Kolkata,Sealdah,"Family Mall, Sealdah Station, Kolkata 700014",7596044533 / 7596044534 / 7603034783
West Bengal,Kolkata,Senco Karigari Hut - Eco Park,"Entry Plaza Gate No 4 Of Eco Park, New Town, South Twenty Four Parganas, West Bengal - 700156",9147389251
West Bengal,Kolkata,Shyambazar,"132 Bidhan Sarani, Kolkata - 700004",033-25553740 / 033-25308138 / 7596089697
West Bengal,Kolkata,Everlite by Senco Gold & Diamonds - Rajarhat - Newtown,"Utility building, Smart Centre, 2 no Biswa Bangla Sarani, Action area - II, Sukanta Pally, Opp. City Centre - 2, Newtown, Rajarhat. PIN - 700157",9147383833 / 8910171746
West Bengal,Kolkata,Sodepur,"14, Burmah Shell Ward No - 23, Kolkata - 700110",033-25656666 / 7777 / 7596074949 / 7605004767
West Bengal,Kolkata,Sonarpur,"Chakraborty Apartment, Ground Floor And 1st Floor, Sonarpur, Noa Para, Word No 10, Holding No 639, Rajpur, Sonarpur, South 24 Parganas, West Bengal- 700150",9147719481 / 9147719482
West Bengal,Kolkata,Thakurpukur,"310 Behala Thakurpukur, Ground Floor, Near Thakurpukur 3A Bus Stand, 310 Diamond Harbour Road, Kolkata, West Bengal - 700063",9147132353 / 9147132354
West Bengal,Krishnanagar,Krishnanagar,"Prathama Heights, R.N Tagore Road, Opp - Kotwali Police Station, Krishnanagar, Nadia. Pin - 741101",03472 223325 / 223396
West Bengal,Maldah,Maldah,"6/1 Sarju Prasad Road, Golapatty Balucha, Bandh Road, Near Netaji Murti, Maldah. Pin - 732101",03512-256655
West Bengal,Medinipur,Chandipur,"945 & 946, Kalikakhali, Math Chandipur, Medinipur (East) Pin - 721659 West Bengal",9874587707 / 9874617707
West Bengal,Medinipur,Medinipur,"Khudiram Bose Road (Keranitola), Dist - Paschim Medinipur. Pin - 721101",7479000605
West Bengal,Medinipur,Egra,"Vill - Kasba Egra, Po+Ps - Egra, Ward No.-1, Dist - Medinipur East, Pin - 721429, Store Timings: 11.00 AM - 8.00 PM",8016474633 / 8373058821 / 03220-244255
West Bengal,Murshidabad,Kandi,"Kandi Bus Stand, Milk Cum Vegetable Market Complex,1st Floor,Murshidabad, West Bengal, Pin - 742137",9732869090
West Bengal,Murshidabad,Raghunathganj,"2Nd Floor, Raghunathganj Main Bus Stand Market Complex, Bblro Road, Raghunathganj, Near Indian Oil Petrol Pump; Po & Ps: Raghunathganj, Pincode: 742225; District: Murshidabad, West Bengal",8710004304
West Bengal,Murshidabad,Dhuliyan,"Vill & Post- Ratanpur, Dhuliyan, Dist - Murshidabad, PS-Samserganj, West Bengal- 742202",9732861919
West Bengal,Nabadwip,Nabadwip,"131/3A, Buroshibtala Road,Nabadwip, Nadia, Pin - 741302",9474550473 / 8640019737
West Bengal,Naihati,Naihati,"220 & 221/A Rishi Bankim Chandra Road,Word No-16,PO & PS - Naihati, North 24 Parganas, West Bengal - 743165",9051906111 / 7596034119
West Bengal,North 24 Parganas,Bangaon,"Commercial Building (Town Kalibari Market), Jessore Road, Bata More, Dist: 24 Parganas (N), Bangaon - 743235, West Bengal",03215-291075 / 7603034783 / 9874023946
